model,family,size_b,provider_mode,provenance,split,task_set,episode_count,overall_mean_score,overall_ci_low,overall_ci_high,strict_native_episode_count,strict_native_overall_mean_score,strict_native_ci_low,strict_native_ci_high,native_action_episode_rate,empty_fallback_episode_rate,response_cap_hit_episode_rate,shifted_episode_count,shifted_overall_mean_score,shifted_ci_low,shifted_ci_high,unshifted_episode_count,unshifted_overall_mean_score,unshifted_ci_low,unshifted_ci_high,decision_only_mean_score,belief_tracking_mean_score,shell_penalty,shift_adaptation_penalty,total_cost_usd,total_input_tokens,total_output_tokens
gpt-oss-120b,gpt-oss,120.0,openrouter_api,paper_freeze_api_run,core,main,30,0.38094,0.3478205833333334,0.4146869166666666,18,0.3902555555555555,0.34412,0.4395090277777777,0.6,0.4,0.0,27,0.37077037037037036,0.33706500000000006,0.4061968518518519,3,0.47246666666666665,0.4288,0.5134,0.3809460799551335,0.0,0.009315555555555521,0.10169629629629628,0.09498548999999999,660396,101571
gpt-oss-120b,gpt-oss,120.0,openrouter_api,paper_freeze_api_run,heldout,main,30,0.36542,0.33913966666666673,0.3958803333333334,13,0.3760307692307692,0.3460150000000001,0.41800019230769225,0.43333333333333335,0.5666666666666667,0.03333333333333333,27,0.3495407407407407,0.3306957407407407,0.3726135185185186,3,0.5083333333333334,0.4398,0.5915,0.36541666743726764,0.0,0.010610769230769201,0.1587925925925927,0.11766281999999999,651138,168744
