split,model_name,repeat_count,mean_repeat_score,std_repeat_score,repeat_ci_low,repeat_ci_high,score_at_1,score_at_3,score_at_5,native_action_episode_rate,empty_fallback_episode_rate,response_cap_hit_episode_rate
core,openai-gpt-oss-120b,1,0.38555,0.0,0.38555,0.38555,0.38555,,,0.16666666666666666,0.8333333333333334,0.0
heldout,openai-gpt-oss-120b,1,0.4030666666666667,0.0,0.4030666666666667,0.4030666666666667,0.4030666666666667,,,0.3333333333333333,0.6666666666666666,0.0
core,openai-gpt-oss-20b,5,0.46119733333333335,0.0039370803621183205,0.45777799999999996,0.46471533333333326,0.46059333333333335,0.46388666666666667,0.4664933333333333,0.9533333333333334,0.04666666666666667,0.20666666666666667
heldout,openai-gpt-oss-20b,5,0.451614,0.004001501607035927,0.4485386666666667,0.45516733333333337,0.44633333333333336,0.45043333333333335,0.45832333333333336,0.9933333333333333,0.006666666666666667,0.13333333333333333
