model,family,size_b,split,task_id,task_bucket,episode_count,overall_mean_score,overall_ci_low,overall_ci_high,strict_native_episode_count,strict_native_overall_mean_score,strict_native_ci_low,strict_native_ci_high,native_action_episode_rate,empty_fallback_episode_rate,response_cap_hit_episode_rate,shifted_episode_count,shifted_overall_mean_score,shifted_ci_low,shifted_ci_high,unshifted_episode_count,unshifted_overall_mean_score,unshifted_ci_low,unshifted_ci_high,decision_only_mean_score,belief_tracking_mean_score,shell_penalty,shift_adaptation_penalty,total_cost_usd,total_input_tokens,total_output_tokens
qwen3.5:2b,qwen,2.0,heldout,task3_startup_week,main,10,0.40776,0.37136925000000004,0.4654315,10,0.40776,0.37136925000000004,0.4654315,1.0,0.0,0.0,9,0.38122222222222224,0.3675777777777778,0.3964672222222222,1,0.6466,,,0.40776,0.0,0.0,0.2653777777777777,0.0,404128,2500
qwen3.5:9b,qwen,9.0,core,task3_startup_week,main,10,0.36292,0.33270625,0.40959024999999993,10,0.36292,0.33270625,0.40959024999999993,1.0,0.0,0.0,9,0.3412888888888889,0.3300441666666667,0.35188916666666664,1,0.5576,,,0.36292650000000004,0.0,0.0,0.21631111111111107,0.0,347384,2707
qwen3.5:9b,qwen,9.0,heldout,task3_startup_week,main,10,0.41299,0.35439975,0.4768409999999999,10,0.41299,0.35439975,0.4768409999999999,1.0,0.0,0.0,9,0.39176666666666665,0.3442058333333334,0.44381583333333324,1,0.604,,,0.41298599999999996,0.0,0.0,0.21223333333333333,0.0,340687,3042
qwen3.5:27b,qwen,27.0,core,task3_startup_week,main,20,0.41201499999999996,0.38022987500000005,0.442327875,18,0.41015,0.37582138888888883,0.4432783333333333,0.9,0.1,0.0,11,0.3740454545454545,0.33661227272727273,0.4170199999999999,9,0.45842222222222223,0.43265499999999996,0.48606666666666665,0.41200458333333334,0.0,-0.00186499999999995,0.08437676767676772,0.0,696508,5508
qwen3.5:27b,qwen,27.0,heldout,task3_startup_week,main,10,0.38936,0.34628975,0.451992,5,0.43818,0.37678,0.5426799999999999,0.5,0.5,0.5,9,0.36077777777777775,0.3406322222222222,0.3794227777777778,1,0.6466,,,0.38935499999999995,0.0,0.04882000000000003,0.2858222222222222,0.0,204800,85546
deepseek-r1:1.5b,deepseek-r1,1.5,core,task6_incident_response_week,main,10,0.41340000000000005,0.39146949999999997,0.45098025,10,0.41340000000000005,0.39146949999999997,0.45098025,1.0,0.0,0.0,9,0.39536666666666664,0.39035416666666667,0.40070055555555556,1,0.5757,,,0.4134125854423322,0.0,0.0,0.18033333333333335,0.0,250393,1992
deepseek-r1:1.5b,deepseek-r1,1.5,heldout,task6_incident_response_week,main,10,0.41200000000000003,0.385578,0.45455274999999995,10,0.41200000000000003,0.385578,0.45455274999999995,1.0,0.0,0.0,9,0.3920555555555556,0.38277750000000005,0.4014816666666667,1,0.5915,,,0.4120068275227891,0.0,0.0,0.19944444444444442,0.0,254129,1836
deepseek-r1:8b,deepseek-r1,8.0,core,task6_incident_response_week,main,10,0.42008999999999996,0.36078650000000007,0.488286,10,0.42008999999999996,0.36078650000000007,0.488286,1.0,0.0,0.0,9,0.4107,0.3504749999999999,0.48632527777777756,1,0.5046,,,0.4200948448013554,0.0,0.0,0.09390000000000004,0.0,234864,1970
deepseek-r1:8b,deepseek-r1,8.0,heldout,task6_incident_response_week,main,10,0.42412,0.3651095,0.490374,10,0.42412,0.3651095,0.490374,1.0,0.0,0.0,9,0.4116222222222222,0.35147666666666666,0.48372222222222216,1,0.5366,,,0.42411916017332396,0.0,0.0,0.12497777777777774,0.0,234670,2041
deepseek-r1:14b,deepseek-r1,14.0,core,task6_incident_response_week,main,10,0.43213999999999997,0.37572525,0.49710249999999984,10,0.43213999999999997,0.37572525,0.49710249999999984,1.0,0.0,0.0,9,0.41969999999999996,0.36465361111111105,0.4887463888888889,1,0.5441,,,0.4321343590339864,0.0,0.0,0.12440000000000007,0.0,230669,1962
deepseek-r1:14b,deepseek-r1,14.0,heldout,task6_incident_response_week,main,10,0.37555,0.3391725,0.42321999999999993,10,0.37555,0.3391725,0.42321999999999993,1.0,0.0,0.0,9,0.35383333333333333,0.3346738888888889,0.3735111111111111,1,0.571,,,0.3755523777574179,0.0,0.0,0.21716666666666662,0.0,229881,2121
gemma4:e2b,gemma4,2.0,core,task6_incident_response_week,main,10,0.40946999999999995,0.38175925000000005,0.44660274999999994,10,0.40946999999999995,0.38175925000000005,0.44660274999999994,1.0,0.0,0.0,9,0.39287777777777777,0.3791663888888889,0.40351277777777783,1,0.5588,,,0.40946511660934554,0.0,0.0,0.1659222222222222,0.0,264580,2162
gemma4:e2b,gemma4,2.0,heldout,task6_incident_response_week,main,10,0.41349,0.3863895,0.4564587499999999,10,0.41349,0.3863895,0.4564587499999999,1.0,0.0,0.0,9,0.39301111111111114,0.3841775,0.4025338888888889,1,0.5978,,,0.4135010109170027,0.0,0.0,0.20478888888888885,0.0,265662,2194
gemma4:e4b,gemma4,4.0,core,task6_incident_response_week,main,10,0.42806999999999995,0.3750285,0.4899365,10,0.42806999999999995,0.3750285,0.4899365,1.0,0.0,0.0,9,0.4156,0.3655869444444444,0.4787824999999999,1,0.5403,,,0.42806518340673705,0.0,0.0,0.12469999999999998,0.0,243777,2062
gemma4:e4b,gemma4,4.0,heldout,task6_incident_response_week,main,10,0.37434,0.34860874999999997,0.4136772499999999,10,0.37434,0.34860874999999997,0.4136772499999999,1.0,0.0,0.0,9,0.3564333333333333,0.3450666666666667,0.36814555555555556,1,0.5355,,,0.37433109990725544,0.0,0.0,0.17906666666666665,0.0,242842,2110
gemma4:26b,gemma4,26.0,core,task6_incident_response_week,main,10,0.43237,0.3565900000000001,0.5065379999999999,9,0.44661111111111107,0.36728999999999995,0.5216602777777777,0.9,0.1,0.0,9,0.4237888888888889,0.3399530555555556,0.5075366666666667,1,0.5096,,,0.43235584111195885,0.0,0.014241111111111093,0.08581111111111117,0.0,239806,5529
gemma4:26b,gemma4,26.0,heldout,task6_incident_response_week,main,10,0.34751,0.31924974999999994,0.3848335,9,0.35366666666666663,0.32394277777777775,0.3935602777777778,0.9,0.1,0.0,9,0.33105555555555555,0.31381888888888887,0.34785944444444444,1,0.4956,,,0.3475100464858801,0.0,0.006156666666666644,0.16454444444444444,0.0,238139,2303
gpt-oss:20b,gpt-oss,20.0,core,task6_incident_response_week,main,10,0.44075,0.37203800000000004,0.5119122500000001,10,0.44075,0.37203800000000004,0.5119122500000001,1.0,0.0,0.0,9,0.43138888888888893,0.35348083333333336,0.5142852777777778,1,0.525,,,0.4407530665367164,0.0,0.0,0.09361111111111109,0.0,262855,2020
gpt-oss:20b,gpt-oss,20.0,heldout,task6_incident_response_week,main,10,0.36765,0.33618750000000003,0.41173225,10,0.36765,0.33618750000000003,0.41173225,1.0,0.0,0.0,9,0.34732222222222225,0.33131750000000004,0.3631447222222222,1,0.5506,,,0.36765057126065737,0.0,0.0,0.20327777777777772,0.0,246468,2085
qwen3.5:2b,qwen,2.0,core,task6_incident_response_week,main,10,0.41053999999999996,0.3834692500000001,0.45287999999999995,10,0.41053999999999996,0.3834692500000001,0.45287999999999995,1.0,0.0,0.0,9,0.3905888888888889,0.3792619444444445,0.39917805555555563,1,0.5901,,,0.4105299503159664,0.0,0.0,0.19951111111111108,0.0,251272,2081
qwen3.5:2b,qwen,2.0,heldout,task6_incident_response_week,main,10,0.41662,0.3917185,0.45762075,10,0.41662,0.3917185,0.45762075,1.0,0.0,0.0,9,0.39718888888888887,0.39009750000000004,0.40490055555555554,1,0.5915,,,0.4166208981157299,0.0,0.0,0.19431111111111116,0.0,253106,2052
qwen3.5:9b,qwen,9.0,core,task6_incident_response_week,main,10,0.42543999999999993,0.3662485,0.4930102499999999,10,0.42543999999999993,0.3662485,0.4930102499999999,1.0,0.0,0.0,9,0.4103333333333333,0.35541583333333326,0.48171611111111107,1,0.5614,,,0.42543297399550406,0.0,0.0,0.15106666666666668,0.0,230339,2015
qwen3.5:9b,qwen,9.0,heldout,task6_incident_response_week,main,10,0.37376,0.32594,0.43130549999999995,10,0.37376,0.32594,0.43130549999999995,1.0,0.0,0.0,9,0.34971111111111114,0.3154494444444445,0.3829488888888888,1,0.5902,,,0.37376451149880774,0.0,0.0,0.2404888888888888,0.0,225538,2299
qwen3.5:27b,qwen,27.0,core,task6_incident_response_week,main,20,0.43865999999999994,0.40189075,0.475938,20,0.43865999999999994,0.40189075,0.475938,1.0,0.0,0.0,11,0.37546363636363633,0.3463252272727273,0.4150486363636365,9,0.5158999999999999,0.5000530555555555,0.5327675000000001,0.4386819694869642,0.0,0.0,0.14043636363636358,0.0,460739,3768
qwen3.5:27b,qwen,27.0,heldout,task6_incident_response_week,main,10,0.28976,0.27069950000000004,0.3200029999999999,0,,,,0.0,1.0,0.5,9,0.2757777777777778,0.2685536111111111,0.2828222222222222,1,0.4156,,,0.2897548883717791,0.0,,0.13982222222222224,0.0,143360,79974
deepseek-r1:1.5b,deepseek-r1,1.5,core,task7_quarterly_headcount_plan,main,10,0.47739000000000004,0.41388825,0.53893,10,0.47739000000000004,0.41388825,0.53893,1.0,0.0,0.0,9,0.46466666666666673,0.39745111111111114,0.5299824999999999,1,0.5919,,,0.47738938564094235,0.0,0.0,0.12723333333333325,0.0,126445,480
deepseek-r1:1.5b,deepseek-r1,1.5,heldout,task7_quarterly_headcount_plan,main,10,0.47705000000000003,0.414177,0.5372649999999999,10,0.47705000000000003,0.414177,0.5372649999999999,1.0,0.0,0.0,9,0.4641444444444444,0.3972644444444444,0.5277225,1,0.5932,,,0.4770407504587057,0.0,0.0,0.12905555555555553,0.0,128046,480
deepseek-r1:8b,deepseek-r1,8.0,core,task7_quarterly_headcount_plan,main,10,0.39794999999999997,0.35780900000000004,0.45361599999999996,10,0.39794999999999997,0.35780900000000004,0.45361599999999996,1.0,0.0,0.0,9,0.38693333333333335,0.348165,0.4418041666666666,1,0.4971,,,0.3979527767208232,0.0,0.0,0.11016666666666663,0.0,126335,483
deepseek-r1:8b,deepseek-r1,8.0,heldout,task7_quarterly_headcount_plan,main,10,0.47705000000000003,0.414177,0.5372649999999999,10,0.47705000000000003,0.414177,0.5372649999999999,1.0,0.0,0.0,9,0.4641444444444444,0.3972644444444444,0.5277225,1,0.5932,,,0.4770407504587057,0.0,0.0,0.12905555555555553,0.0,127562,480
deepseek-r1:14b,deepseek-r1,14.0,core,task7_quarterly_headcount_plan,main,10,0.47739000000000004,0.41388825,0.53893,10,0.47739000000000004,0.41388825,0.53893,1.0,0.0,0.0,9,0.46466666666666673,0.39745111111111114,0.5299824999999999,1,0.5919,,,0.47738938564094235,0.0,0.0,0.12723333333333325,0.0,126335,480
deepseek-r1:14b,deepseek-r1,14.0,heldout,task7_quarterly_headcount_plan,main,10,0.47705000000000003,0.414177,0.5372649999999999,10,0.47705000000000003,0.414177,0.5372649999999999,1.0,0.0,0.0,9,0.4641444444444444,0.3972644444444444,0.5277225,1,0.5932,,,0.4770407504587057,0.0,0.0,0.12905555555555553,0.0,127591,480
gemma4:e2b,gemma4,2.0,core,task7_quarterly_headcount_plan,main,10,0.41068999999999994,0.3509595,0.47815075,10,0.41068999999999994,0.3509595,0.47815075,1.0,0.0,0.0,9,0.39276666666666665,0.3441319444444445,0.4621672222222222,1,0.572,,,0.41070234838559444,0.0,0.0,0.1792333333333333,0.0,139175,1188
gemma4:e2b,gemma4,2.0,heldout,task7_quarterly_headcount_plan,main,10,0.42000000000000004,0.37611425,0.4772119999999999,10,0.42000000000000004,0.37611425,0.4772119999999999,1.0,0.0,0.0,9,0.40324444444444446,0.37031,0.4526611111111111,1,0.5708,,,0.4199944461700514,0.0,0.0,0.1675555555555555,0.0,140881,1052
gemma4:e4b,gemma4,4.0,core,task7_quarterly_headcount_plan,main,10,0.44641000000000003,0.39982449999999997,0.4970307499999999,10,0.44641000000000003,0.39982449999999997,0.4970307499999999,1.0,0.0,0.0,9,0.43024444444444443,0.3863219444444444,0.4741272222222222,1,0.5919,,,0.4464077376409423,0.0,0.0,0.16165555555555555,0.0,136545,629
gemma4:e4b,gemma4,4.0,heldout,task7_quarterly_headcount_plan,main,10,0.45144,0.39953,0.5062599999999999,10,0.45144,0.39953,0.5062599999999999,1.0,0.0,0.0,9,0.43568888888888885,0.3887172222222222,0.48439999999999994,1,0.5932,,,0.45143783445870567,0.0,0.0,0.1575111111111111,0.0,137399,555
gemma4:26b,gemma4,26.0,core,task7_quarterly_headcount_plan,main,10,0.40134,0.36139225,0.45915425,8,0.413825,0.36563562499999996,0.48256249999999984,0.8,0.2,0.0,9,0.3751333333333333,0.35681944444444447,0.3969566666666666,1,0.6372,,,0.40135592832602224,0.0,0.012485000000000024,0.26206666666666667,0.0,137657,1051
gemma4:26b,gemma4,26.0,heldout,task7_quarterly_headcount_plan,main,10,0.40077999999999997,0.35504874999999997,0.45956175,8,0.4193,0.36906249999999996,0.4863253125,0.8,0.2,0.0,9,0.37455555555555553,0.34787527777777777,0.3993891666666667,1,0.6368,,,0.40077661482047117,0.0,0.018520000000000036,0.2622444444444445,0.0,139341,1062
gpt-oss:20b,gpt-oss,20.0,core,task7_quarterly_headcount_plan,main,10,0.38508,0.33175899999999997,0.45050375000000004,10,0.38508,0.33175899999999997,0.45050375000000004,1.0,0.0,0.3,9,0.36517777777777777,0.3288422222222222,0.42715194444444443,1,0.5642,,,0.38509427920714867,0.0,0.0,0.19902222222222227,0.0,167152,9827
gpt-oss:20b,gpt-oss,20.0,heldout,task7_quarterly_headcount_plan,main,10,0.42208000000000007,0.37760949999999993,0.4750444999999999,10,0.42208000000000007,0.37760949999999993,0.4750444999999999,1.0,0.0,0.1,9,0.4002444444444444,0.36957750000000006,0.43277138888888883,1,0.6186,,,0.4220783975472516,0.0,0.0,0.21835555555555564,0.0,157166,3804
qwen3.5:2b,qwen,2.0,core,task7_quarterly_headcount_plan,main,10,0.47739000000000004,0.41388825,0.53893,10,0.47739000000000004,0.41388825,0.53893,1.0,0.0,0.0,9,0.46466666666666673,0.39745111111111114,0.5299824999999999,1,0.5919,,,0.47738938564094235,0.0,0.0,0.12723333333333325,0.0,126383,480
qwen3.5:2b,qwen,2.0,heldout,task7_quarterly_headcount_plan,main,10,0.47705000000000003,0.414177,0.5372649999999999,10,0.47705000000000003,0.414177,0.5372649999999999,1.0,0.0,0.0,9,0.4641444444444444,0.3972644444444444,0.5277225,1,0.5932,,,0.4770407504587057,0.0,0.0,0.12905555555555553,0.0,127874,480
qwen3.5:9b,qwen,9.0,core,task7_quarterly_headcount_plan,main,10,0.47681000000000007,0.41218625,0.54004225,10,0.47681000000000007,0.41218625,0.54004225,1.0,0.0,0.0,9,0.46402222222222217,0.39526611111111115,0.5335002777777778,1,0.5919,,,0.4767963456409423,0.0,0.0,0.1278777777777778,0.0,126433,468
qwen3.5:9b,qwen,9.0,heldout,task7_quarterly_headcount_plan,main,10,0.47705000000000003,0.414177,0.5372649999999999,10,0.47705000000000003,0.414177,0.5372649999999999,1.0,0.0,0.0,9,0.4641444444444444,0.3972644444444444,0.5277225,1,0.5932,,,0.4770407504587057,0.0,0.0,0.12905555555555553,0.0,127949,480
qwen3.5:27b,qwen,27.0,core,task7_quarterly_headcount_plan,main,20,0.478325,0.43884475,0.5162275,20,0.478325,0.43884475,0.5162275,1.0,0.0,0.0,11,0.46704545454545454,0.40158431818181817,0.5329554545454546,9,0.49211111111111117,0.46037277777777785,0.5214472222222222,0.4783244130538858,0.0,0.0,0.025065656565656624,0.0,251061,1081
qwen3.5:27b,qwen,27.0,heldout,task7_quarterly_headcount_plan,main,10,0.47481999999999996,0.41477300000000006,0.531498,9,0.4670111111111111,0.4010683333333333,0.530528611111111,0.9,0.1,0.0,9,0.4670111111111111,0.4010683333333333,0.530528611111111,1,0.5451,,,0.4748093759599241,0.0,-0.007808888888888865,0.07808888888888893,0.0,81920,31405
