baseline,family,provider_mode,provenance,split,task_set,episode_count,overall_mean_score,overall_ci_low,overall_ci_high,strict_native_episode_count,strict_native_overall_mean_score,strict_native_ci_low,strict_native_ci_high,native_action_episode_rate,empty_fallback_episode_rate,response_cap_hit_episode_rate,shifted_episode_count,shifted_overall_mean_score,shifted_ci_low,shifted_ci_high,unshifted_episode_count,unshifted_overall_mean_score,unshifted_ci_low,unshifted_ci_high,decision_only_mean_score,belief_tracking_mean_score,shell_penalty,shift_adaptation_penalty,total_cost_usd,total_input_tokens,total_output_tokens
random,baseline,deterministic_policy,post_cleanup_baseline_rerun,core,main,60,0.30251,0.28592758333333335,0.32045933333333326,60,0.30251,0.28592758333333335,0.32045933333333326,1.0,0.0,0.0,45,0.28522444444444445,0.2665742222222222,0.3064780555555555,15,0.35436666666666666,0.32925999999999994,0.37999983333333337,0.36527108880827514,0.0,0.0,0.06914222222222222,0.0,0,0
visible heuristic,baseline,deterministic_policy,post_cleanup_baseline_rerun,core,main,60,0.3457933333333333,0.3291442083333333,0.362311375,60,0.3457933333333333,0.3291442083333333,0.362311375,1.0,0.0,0.0,45,0.31892666666666664,0.305442,0.3334155,15,0.42639333333333335,0.4037453333333333,0.4452075,0.4200700084300599,0.0,0.0,0.10746666666666671,0.0,0,0
myopic oracle,oracle,privileged_policy,post_cleanup_baseline_rerun,core,main,60,0.59859,0.5751055833333333,0.6226764166666665,60,0.59859,0.5751055833333333,0.6226764166666665,1.0,0.0,0.0,45,0.5750311111111112,0.5443805,0.6052259999999999,15,0.6692666666666667,0.6566514999999998,0.6814478333333333,0.5188657085247961,1.0,0.0,0.09423555555555552,0.0,0,0
random,baseline,deterministic_policy,post_cleanup_baseline_rerun,heldout,main,60,0.30953166666666665,0.290361625,0.32957833333333336,60,0.30953166666666665,0.290361625,0.32957833333333336,1.0,0.0,0.0,45,0.28992222222222225,0.26898977777777777,0.31210572222222216,15,0.36836,0.3443574999999999,0.39210166666666674,0.37392939230005273,0.0,0.0,0.07843777777777777,0.0,0,0
visible heuristic,baseline,deterministic_policy,post_cleanup_baseline_rerun,heldout,main,60,0.3711083333333333,0.3558796249999999,0.38781879166666666,60,0.3711083333333333,0.3558796249999999,0.38781879166666666,1.0,0.0,0.0,45,0.3472222222222222,0.3320701666666667,0.36455077777777767,15,0.44276666666666664,0.4333263333333334,0.4526739999999999,0.45131952419448385,0.0,0.0,0.09554444444444443,0.0,0,0
myopic oracle,oracle,privileged_policy,post_cleanup_baseline_rerun,heldout,main,60,0.59841,0.5746616666666665,0.6234678333333333,60,0.59841,0.5746616666666665,0.6234678333333333,1.0,0.0,0.0,45,0.5734,0.5428839999999999,0.6039681666666665,15,0.6734399999999999,0.6590783333333334,0.6869486666666667,0.5189831917487017,1.0,0.0,0.1000399999999999,0.0,0,0
